Crop,Etm,Water Requirements,days of water usage,Fertilizer N,Fertilizer K,Fertilizer P,Root Depth,Residue,Disease,Pest,plant spacing,soil salinity,area,Soil_type,Crop (t-2),Crop (t-1),Crop (t),Next Crop
Durum Wheat,5,450,120,100,60,50,100,3000,Fusariose,SWING GOLD,25,Moderate,Wide,Loamy, Sugarbeet,Peas,Onion ,Onion 
Durum Wheat,5,450,120,100,60,50,100,3000,Mauvaises herbes annuelles et vivaces,ROUNDUP,25,Moderate,Wide,Loamy, Sugarbeet,Peas,Onion ,Onion 
Durum Wheat,5,450,120,100,60,50,100,3000,Oidium,BAVISTIN FL,25,Moderate,Wide,Loamy, Tomato,Mustard,Legumes,Legumes
Durum Wheat,5,450,120,100,60,50,100,3000,Oidium,CORBEL,25,Moderate,Wide,Loamy, Tomato,Mustard,Legumes,Legumes
Durum Wheat,5,450,120,100,60,50,100,3000,Traitement d'hiver,FUNGURAN OH,25,Moderate,Wide,Loamy, Tomato,Mustard,Legumes,Legumes
Durum Wheat,5,450,120,100,60,50,100,3000,Septoriose,OSAM,25,Moderate,Wide,Loamy, Tomato,Mustard,Legumes,Legumes
Durum Wheat,5,450,120,100,60,50,100,3000,Septoriose,OPUS,25,Moderate,Wide,Loamy, Tomato,Mustard,Legumes,Legumes
Durum Wheat,5,450,120,100,60,50,100,3000,Septoriose,REX DUO,25,Moderate,Wide,Loamy, Tomato,Mustard,Legumes,Legumes
Durum Wheat,5,450,120,100,60,50,100,3000,Fusariose,SWING GOLD,25,Moderate,Wide,Loamy, Tomato,Mustard,Legumes,Legumes
Durum Wheat,5,450,120,100,60,50,100,3000,Mauvaises herbes annuelles et vivaces,ROUNDUP,25,Moderate,Wide,Loamy, Tomato,Mustard,Legumes,Legumes
Barley,4.5,400,110,80,50,40,90,2800,Oidium,BAVISTIN FL,20,Moderate,Wide,Sandy Loam,Cereal,Legumes,Onion ,Onion 
Barley,4.5,400,110,80,50,40,90,2800,Oidium,CORBEL,20,Moderate,Wide,Sandy Loam,Cereal,Legumes,Onion ,Onion 
Barley,4.5,400,110,80,50,40,90,2800,Traitement d'hiver,FUNGURAN OH,20,Moderate,Wide,Sandy Loam,Cereal,Legumes,Onion ,Onion 
Barley,4.5,400,110,80,50,40,90,2800,Septoriose,OSAM,20,Moderate,Wide,Sandy Loam,Cereal,Legumes,Onion ,Onion 
Barley,4.5,400,110,80,50,40,90,2800,Septoriose,OPUS,20,Moderate,Wide,Sandy Loam,Cereal,Legumes,Onion ,Onion 
Barley,4.5,400,110,80,50,40,90,2800,Septoriose,REX DUO,20,Moderate,Wide,Sandy Loam,Cereal,Legumes,Onion ,Onion 
Barley,4.5,400,110,80,50,40,90,2800,Fusariose,SWING GOLD,20,Moderate,Wide,Sandy Loam,Cereal,Legumes,Onion ,Onion 
Barley,4.5,400,110,80,50,40,90,2800,Mauvaises herbes annuelles et vivaces,ROUNDUP,20,Moderate,Wide,Sandy Loam,Cereal,Legumes,Onion ,Onion 
Barley,4.5,400,110,80,50,40,90,2800,Oidium,BAVISTIN FL,20,Moderate,Wide,Sandy Loam, Sugarbeet,Wheat,Legumes ,Legumes 
Barley,4.5,400,110,80,50,40,90,2800,Oidium,CORBEL,20,Moderate,Wide,Sandy Loam, Sugarbeet,Wheat,Legumes ,Legumes 
Barley,4.5,400,110,80,50,40,90,2800,Traitement d'hiver,FUNGURAN OH,20,Moderate,Wide,Sandy Loam, Sugarbeet,Wheat,Legumes ,Legumes 
Barley,4.5,400,110,80,50,40,90,2800,Septoriose,OSAM,20,Moderate,Wide,Sandy Loam, Sugarbeet,Wheat,Legumes ,Legumes 
Barley,4.5,400,110,80,50,40,90,2800,Septoriose,OPUS,20,Moderate,Wide,Sandy Loam, Sugarbeet,Wheat,Legumes ,Legumes 
Barley,4.5,400,110,80,50,40,90,2800,Septoriose,REX DUO,20,Moderate,Wide,Sandy Loam, Sugarbeet,Wheat,Legumes ,Legumes 
Barley,4.5,400,110,80,50,40,90,2800,Fusariose,SWING GOLD,20,Moderate,Wide,Sandy Loam, Sugarbeet,Wheat,Legumes ,Legumes 
Barley,4.5,400,110,80,50,40,90,2800,Mauvaises herbes annuelles et vivaces,ROUNDUP,20,Moderate,Wide,Sandy Loam, Sugarbeet,Wheat,Legumes ,Legumes 
Barley,4.5,400,110,80,50,40,90,2800,Oidium,BAVISTIN FL,20,Moderate,Wide,Sandy Loam, Mustard,Maize,Carrot ,Carrot 
Barley,4.5,400,110,80,50,40,90,2800,Oidium,CORBEL,20,Moderate,Wide,Sandy Loam, Mustard,Maize,Carrot ,Carrot 
Barley,4.5,400,110,80,50,40,90,2800,Traitement d'hiver,FUNGURAN OH,20,Moderate,Wide,Sandy Loam, Mustard,Maize,Carrot ,Carrot 
Barley,4.5,400,110,80,50,40,90,2800,Septoriose,OSAM,20,Moderate,Wide,Sandy Loam, Mustard,Maize,Carrot ,Carrot 
Barley,4.5,400,110,80,50,40,90,2800,Septoriose,OPUS,20,Moderate,Wide,Sandy Loam, Mustard,Maize,Carrot ,Carrot 
Barley,4.5,400,110,80,50,40,90,2800,Septoriose,REX DUO,20,Moderate,Wide,Sandy Loam, Mustard,Maize,Carrot ,Carrot 
Barley,4.5,400,110,80,50,40,90,2800,Fusariose,SWING GOLD,20,Moderate,Wide,Sandy Loam, Mustard,Maize,Carrot ,Carrot 
Barley,4.5,400,110,80,50,40,90,2800,Mauvaises herbes annuelles et vivaces,ROUNDUP,20,Moderate,Wide,Sandy Loam, Mustard,Maize,Carrot ,Carrot 
Barley,4.5,400,110,80,50,40,90,2800,Oidium,BAVISTIN FL,20,Moderate,Wide,Sandy Loam, Sunflower,Pea,Onion ,Onion 
Barley,4.5,400,110,80,50,40,90,2800,Oidium,CORBEL,20,Moderate,Wide,Sandy Loam, Sunflower,Pea,Onion ,Onion 
Barley,4.5,400,110,80,50,40,90,2800,Traitement d'hiver,FUNGURAN OH,20,Moderate,Wide,Sandy Loam, Sunflower,Pea,Onion ,Onion 
Barley,4.5,400,110,80,50,40,90,2800,Septoriose,OSAM,20,Moderate,Wide,Sandy Loam, Sunflower,Pea,Onion ,Onion 
Barley,4.5,400,110,80,50,40,90,2800,Septoriose,OPUS,20,Moderate,Wide,Sandy Loam, Sunflower,Pea,Onion ,Onion 
Barley,4.5,400,110,80,50,40,90,2800,Septoriose,REX DUO,20,Moderate,Wide,Sandy Loam, Sunflower,Pea,Onion ,Onion 
Barley,4.5,400,110,80,50,40,90,2800,Fusariose,SWING GOLD,20,Moderate,Wide,Sandy Loam, Sunflower,Pea,Onion ,Onion 
Barley,4.5,400,110,80,50,40,90,2800,Mauvaises herbes annuelles et vivaces,ROUNDUP,20,Moderate,Wide,Sandy Loam, Sunflower,Pea,Onion ,Onion 
Barley,4.5,400,110,80,50,40,90,2800,Oidium,BAVISTIN FL,20,Moderate,Wide,Sandy Loam, Maize,Beans,Cabbage,Cabbage
Barley,4.5,400,110,80,50,40,90,2800,Oidium,CORBEL,20,Moderate,Wide,Sandy Loam, Maize,Beans,Cabbage,Cabbage
Barley,4.5,400,110,80,50,40,90,2800,Traitement d'hiver,FUNGURAN OH,20,Moderate,Wide,Sandy Loam, Maize,Beans,Cabbage,Cabbage
Barley,4.5,400,110,80,50,40,90,2800,Septoriose,OSAM,20,Moderate,Wide,Sandy Loam, Maize,Beans,Cabbage,Cabbage
Barley,4.5,400,110,80,50,40,90,2800,Septoriose,OPUS,20,Moderate,Wide,Sandy Loam, Maize,Beans,Cabbage,Cabbage
Barley,4.5,400,110,80,50,40,90,2800,Septoriose,REX DUO,20,Moderate,Wide,Sandy Loam, Maize,Beans,Cabbage,Cabbage
Barley,4.5,400,110,80,50,40,90,2800,Fusariose,SWING GOLD,20,Moderate,Wide,Sandy Loam, Maize,Beans,Cabbage,Cabbage
Barley,4.5,400,110,80,50,40,90,2800,Mauvaises herbes annuelles et vivaces,ROUNDUP,20,Moderate,Wide,Sandy Loam, Maize,Beans,Cabbage,Cabbage
Chickpea,4,350,100,40,45,30,80,2600,Oidium,BAVISTIN FL,30,Low,Medium,Clay Loam,Cabbage,Legumes,Carrot ,Carrot 
Chickpea,4,350,100,40,45,30,80,2600,Traitement d'hiver,FUNGURAN OH,30,Low,Medium,Clay Loam,Cabbage,Legumes,Carrot ,Carrot 
Chickpea,4,350,100,40,45,30,80,2600,Mauvaises herbes annuelles et vivaces,ROUNDUP,30,Low,Medium,Clay Loam,Cabbage,Legumes,Carrot ,Carrot 
Chickpea,4,350,100,40,45,30,80,2600,Oidium,BAVISTIN FL,30,Low,Medium,Clay Loam, Mustard,Sunflower,Wheat ,Wheat 
Chickpea,4,350,100,40,45,30,80,2600,Traitement d'hiver,FUNGURAN OH,30,Low,Medium,Clay Loam, Mustard,Sunflower,Wheat ,Wheat 
Chickpea,4,350,100,40,45,30,80,2600,Mauvaises herbes annuelles et vivaces,ROUNDUP,30,Low,Medium,Clay Loam, Mustard,Sunflower,Wheat ,Wheat 
Chickpea,4,350,100,40,45,30,80,2600,Oidium,BAVISTIN FL,30,Low,Medium,Clay Loam, Sugarbeet,Tomato,Peas ,Peas 
Chickpea,4,350,100,40,45,30,80,2600,Traitement d'hiver,FUNGURAN OH,30,Low,Medium,Clay Loam, Sugarbeet,Tomato,Peas ,Peas 
Chickpea,4,350,100,40,45,30,80,2600,Mauvaises herbes annuelles et vivaces,ROUNDUP,30,Low,Medium,Clay Loam, Sugarbeet,Tomato,Peas ,Peas 
Chickpea,4,350,100,40,45,30,80,2600,Oidium,BAVISTIN FL,30,Low,Medium,Clay Loam, Maize,Pepper,Legumes ,Legumes 
Chickpea,4,350,100,40,45,30,80,2600,Traitement d'hiver,FUNGURAN OH,30,Low,Medium,Clay Loam, Maize,Pepper,Legumes ,Legumes 
Chickpea,4,350,100,40,45,30,80,2600,Mauvaises herbes annuelles et vivaces,ROUNDUP,30,Low,Medium,Clay Loam, Maize,Pepper,Legumes ,Legumes 
Chickpea,4,350,100,40,45,30,80,2600,Oidium,BAVISTIN FL,30,Low,Medium,Clay Loam, Wheat,Sunflower,Carrot,Carrot
Chickpea,4,350,100,40,45,30,80,2600,Traitement d'hiver,FUNGURAN OH,30,Low,Medium,Clay Loam, Wheat,Sunflower,Carrot,Carrot
Chickpea,4,350,100,40,45,30,80,2600,Mauvaises herbes annuelles et vivaces,ROUNDUP,30,Low,Medium,Clay Loam, Wheat,Sunflower,Carrot,Carrot
Lentil,3.8,300,90,35,40,25,75,2500,Oidium,BAVISTIN FL,35,Low,Medium,Loamy,Legumes,Cereal,Sunflower ,Sunflower 
Lentil,3.8,300,90,35,40,25,75,2500,Traitement d'hiver,FUNGURAN OH,35,Low,Medium,Loamy,Legumes,Cereal,Sunflower ,Sunflower 
Lentil,3.8,300,90,35,40,25,75,2500,Mauvaises herbes annuelles et vivaces,ROUNDUP,35,Low,Medium,Loamy,Legumes,Cereal,Sunflower ,Sunflower 
Lentil,3.8,300,90,35,40,25,75,2500,Oidium,BAVISTIN FL,35,Low,Medium,Loamy, Tomato,Onion,Legumes ,Legumes 
Lentil,3.8,300,90,35,40,25,75,2500,Traitement d'hiver,FUNGURAN OH,35,Low,Medium,Loamy, Tomato,Onion,Legumes ,Legumes 
Lentil,3.8,300,90,35,40,25,75,2500,Mauvaises herbes annuelles et vivaces,ROUNDUP,35,Low,Medium,Loamy, Tomato,Onion,Legumes ,Legumes 
Lentil,3.8,300,90,35,40,25,75,2500,Oidium,BAVISTIN FL,35,Low,Medium,Loamy, Sugarbeet,Cabbage,Peas ,Peas 
Lentil,3.8,300,90,35,40,25,75,2500,Traitement d'hiver,FUNGURAN OH,35,Low,Medium,Loamy, Sugarbeet,Cabbage,Peas ,Peas 
Lentil,3.8,300,90,35,40,25,75,2500,Mauvaises herbes annuelles et vivaces,ROUNDUP,35,Low,Medium,Loamy, Sugarbeet,Cabbage,Peas ,Peas 
Lentil,3.8,300,90,35,40,25,75,2500,Oidium,BAVISTIN FL,35,Low,Medium,Loamy, Wheat,Mustard,Sunflower ,Sunflower 
Lentil,3.8,300,90,35,40,25,75,2500,Traitement d'hiver,FUNGURAN OH,35,Low,Medium,Loamy, Wheat,Mustard,Sunflower ,Sunflower 
Lentil,3.8,300,90,35,40,25,75,2500,Mauvaises herbes annuelles et vivaces,ROUNDUP,35,Low,Medium,Loamy, Wheat,Mustard,Sunflower ,Sunflower 
Lentil,3.8,300,90,35,40,25,75,2500,Oidium,BAVISTIN FL,35,Low,Medium,Loamy, Carrot,Pepper,Onion,Onion
Lentil,3.8,300,90,35,40,25,75,2500,Traitement d'hiver,FUNGURAN OH,35,Low,Medium,Loamy, Carrot,Pepper,Onion,Onion
Lentil,3.8,300,90,35,40,25,75,2500,Mauvaises herbes annuelles et vivaces,ROUNDUP,35,Low,Medium,Loamy, Carrot,Pepper,Onion,Onion
Sesame,5,500,110,50,40,35,85,2700,Oidium,BAVISTIN FL,40,Moderate,Wide,Sandy Loam,Legumes,Maize,Sunflower ,Sunflower 
Sesame,5,500,110,50,40,35,85,2700,Traitement d'hiver,FUNGURAN OH,40,Moderate,Wide,Sandy Loam,Legumes,Maize,Sunflower ,Sunflower 
Sesame,5,500,110,50,40,35,85,2700,Mauvaises herbes annuelles et vivaces,ROUNDUP,40,Moderate,Wide,Sandy Loam,Legumes,Maize,Sunflower ,Sunflower 
Sesame,5,500,110,50,40,35,85,2700,Oidium,BAVISTIN FL,40,Moderate,Wide,Sandy Loam, Pea,Mustard,Cereal ,Cereal 
Sesame,5,500,110,50,40,35,85,2700,Traitement d'hiver,FUNGURAN OH,40,Moderate,Wide,Sandy Loam, Pea,Mustard,Cereal ,Cereal 
Sesame,5,500,110,50,40,35,85,2700,Mauvaises herbes annuelles et vivaces,ROUNDUP,40,Moderate,Wide,Sandy Loam, Pea,Mustard,Cereal ,Cereal 
Sesame,5,500,110,50,40,35,85,2700,Oidium,BAVISTIN FL,40,Moderate,Wide,Sandy Loam, Onion,Carrot,Maize ,Maize 
Sesame,5,500,110,50,40,35,85,2700,Traitement d'hiver,FUNGURAN OH,40,Moderate,Wide,Sandy Loam, Onion,Carrot,Maize ,Maize 
Sesame,5,500,110,50,40,35,85,2700,Mauvaises herbes annuelles et vivaces,ROUNDUP,40,Moderate,Wide,Sandy Loam, Onion,Carrot,Maize ,Maize 
Sesame,5,500,110,50,40,35,85,2700,Oidium,BAVISTIN FL,40,Moderate,Wide,Sandy Loam,Cabbage,Beans,Sunflower ,Sunflower 
Sesame,5,500,110,50,40,35,85,2700,Traitement d'hiver,FUNGURAN OH,40,Moderate,Wide,Sandy Loam,Cabbage,Beans,Sunflower ,Sunflower 
Sesame,5,500,110,50,40,35,85,2700,Mauvaises herbes annuelles et vivaces,ROUNDUP,40,Moderate,Wide,Sandy Loam,Cabbage,Beans,Sunflower ,Sunflower 
Sesame,5,500,110,50,40,35,85,2700,Oidium,BAVISTIN FL,40,Moderate,Wide,Sandy Loam, Tomato,Peas,Mustard,Mustard
Sesame,5,500,110,50,40,35,85,2700,Traitement d'hiver,FUNGURAN OH,40,Moderate,Wide,Sandy Loam, Tomato,Peas,Mustard,Mustard
Sesame,5,500,110,50,40,35,85,2700,Mauvaises herbes annuelles et vivaces,ROUNDUP,40,Moderate,Wide,Sandy Loam, Tomato,Peas,Mustard,Mustard
Flax,4.5,450,105,60,50,40,70,2400,Oidium,BAVISTIN FL,30,Moderate,Wide,Loamy,Legumes,Cereal,Maize ,Maize 
Flax,4.5,450,105,60,50,40,70,2400,Traitement d'hiver,FUNGURAN OH,30,Moderate,Wide,Loamy,Legumes,Cereal,Maize ,Maize 
Flax,4.5,450,105,60,50,40,70,2400,Mauvaises herbes annuelles et vivaces,ROUNDUP,30,Moderate,Wide,Loamy,Legumes,Cereal,Maize ,Maize 
Flax,4.5,450,105,60,50,40,70,2400,Oidium,BAVISTIN FL,30,Moderate,Wide,Loamy, Mustard,Sunflower,Wheat ,Wheat 
Flax,4.5,450,105,60,50,40,70,2400,Traitement d'hiver,FUNGURAN OH,30,Moderate,Wide,Loamy, Mustard,Sunflower,Wheat ,Wheat 
Flax,4.5,450,105,60,50,40,70,2400,Mauvaises herbes annuelles et vivaces,ROUNDUP,30,Moderate,Wide,Loamy, Mustard,Sunflower,Wheat ,Wheat 
Flax,4.5,450,105,60,50,40,70,2400,Oidium,BAVISTIN FL,30,Moderate,Wide,Loamy, Carrot,Onion,Cabbage ,Cabbage 
Flax,4.5,450,105,60,50,40,70,2400,Traitement d'hiver,FUNGURAN OH,30,Moderate,Wide,Loamy, Carrot,Onion,Cabbage ,Cabbage 
Flax,4.5,450,105,60,50,40,70,2400,Mauvaises herbes annuelles et vivaces,ROUNDUP,30,Moderate,Wide,Loamy, Carrot,Onion,Cabbage ,Cabbage 
Flax,4.5,450,105,60,50,40,70,2400,Oidium,BAVISTIN FL,30,Moderate,Wide,Loamy, Sugarbeet,Peas,Onion ,Onion 
Flax,4.5,450,105,60,50,40,70,2400,Traitement d'hiver,FUNGURAN OH,30,Moderate,Wide,Loamy, Sugarbeet,Peas,Onion ,Onion 
Flax,4.5,450,105,60,50,40,70,2400,Mauvaises herbes annuelles et vivaces,ROUNDUP,30,Moderate,Wide,Loamy, Sugarbeet,Peas,Onion ,Onion 
Flax,4.5,450,105,60,50,40,70,2400,Oidium,BAVISTIN FL,30,Moderate,Wide,Loamy, Tomato,Mustard,Legumes,Legumes
Flax,4.5,450,105,60,50,40,70,2400,Traitement d'hiver,FUNGURAN OH,30,Moderate,Wide,Loamy, Tomato,Mustard,Legumes,Legumes
Flax,4.5,450,105,60,50,40,70,2400,Mauvaises herbes annuelles et vivaces,ROUNDUP,30,Moderate,Wide,Loamy, Tomato,Mustard,Legumes,Legumes
Fennel,3.5,320,100,45,35,30,60,2200,,,45,Low,Medium,Sandy Loam,Legumes,Cereal,Maize ,Maize 
Fennel,3.5,320,100,45,35,30,60,2200,,,45,Low,Medium,Sandy Loam, Mustard,Sunflower,Wheat ,Wheat 
Fennel,3.5,320,100,45,35,30,60,2200,,,45,Low,Medium,Sandy Loam, Carrot,Onion,Cabbage ,Cabbage 
Fennel,3.5,320,100,45,35,30,60,2200,,,45,Low,Medium,Sandy Loam, Sugarbeet,Peas,Onion ,Onion 
Fennel,3.5,320,100,45,35,30,60,2200,,,45,Low,Medium,Sandy Loam, Tomato,Mustard,Legumes,Legumes
Coriander,3.2,300,95,30,40,25,55,2100,,,35,Low,Small,Loamy,Cereal,Mustard,Sunflower ,Sunflower 
Coriander,3.2,300,95,30,40,25,55,2100,,,35,Low,Small,Loamy, Maize,Legumes,Onion ,Onion 
Coriander,3.2,300,95,30,40,25,55,2100,,,35,Low,Small,Loamy, Tomato,Wheat,Legumes ,Legumes 
Coriander,3.2,300,95,30,40,25,55,2100,,,35,Low,Small,Loamy, Carrot,Cabbage,Sunflower ,Sunflower 
Coriander,3.2,300,95,30,40,25,55,2100,,,35,Low,Small,Loamy, Pea,Onion,Maize,Maize
Sunflower ,,800,,75,95,32.5,100,3500,,,90,tolerent,,"Deep, well-drained soil with good water holding capacity",Legumes,Cereal,Maize ,Maize 
Sunflower ,,800,,75,95,32.5,100,3500,,,90,tolerent,,"Deep, well-drained soil with good water holding capacity", Mustard,Sunflower,Wheat ,Wheat 
Sunflower ,,800,,75,95,32.5,100,3500,,,90,tolerent,,"Deep, well-drained soil with good water holding capacity", Carrot,Onion,Cabbage ,Cabbage 
Sunflower ,,800,,75,95,32.5,100,3500,,,90,tolerent,,"Deep, well-drained soil with good water holding capacity", Sugarbeet,Peas,Onion ,Onion 
Sunflower ,,800,,75,95,32.5,100,3500,,,90,tolerent,,"Deep, well-drained soil with good water holding capacity", Tomato,Mustard,Legumes,Legumes
Bean,,400,75,30,85,50,125,2700,,,15,highly sensitive,,"Friable, well-drained, loamy soils are ideal.",Cereal,Mustard,Sunflower ,Sunflower 
Bean,,400,75,30,85,50,125,2700,,,15,highly sensitive,,"Friable, well-drained, loamy soils are ideal.", Maize,Legumes,Onion ,Onion 
Bean,,400,75,30,85,50,125,2700,,,15,highly sensitive,,"Friable, well-drained, loamy soils are ideal.", Tomato,Wheat,Legumes ,Legumes 
Bean,,400,75,30,85,50,125,2700,,,15,highly sensitive,,"Friable, well-drained, loamy soils are ideal.", Carrot,Cabbage,Sunflower ,Sunflower 
Bean,,400,75,30,85,50,125,2700,,,15,highly sensitive,,"Friable, well-drained, loamy soils are ideal.", Pea,Onion,Maize,Maize
Sunflower,5,800,130,75,90,32.5,100,3500,,,90,Moderately Tolerant,Wide,Loamy,Maize,Legumes,Wheat ,Wheat 
Sunflower,5,800,130,75,90,32.5,100,3500,,,90,Moderately Tolerant,Wide,Loamy,Cabbage,Carrot,Legumes ,Legumes 
Sunflower,5,800,130,75,90,32.5,100,3500,,,90,Moderately Tolerant,Wide,Loamy, Tomato,Onion,Peas ,Peas 
Sunflower,5,800,130,75,90,32.5,100,3500,,,90,Moderately Tolerant,Wide,Loamy, Sugarbeet,Pepper,Mustard ,Mustard 
Sunflower,5,800,130,75,90,32.5,100,3500,,,90,Moderately Tolerant,Wide,Loamy, Wheat,Pea,Cereal,Cereal
Pea,4,500,100,30,50,20,100,2500,Dicotylédones et graminées (pré-levée),Stomp Aqua,50,Sensitive,Wide,Loamy,Cereal,Mustard,Legumes ,Legumes 
Pea,4,500,100,30,50,20,100,2500,Dicotylédones et graminées (pré-levée),Stomp Aqua,50,Sensitive,Wide,Loamy, Wheat,Sunflower,Maize ,Maize 
Pea,4,500,100,30,50,20,100,2500,Dicotylédones et graminées (pré-levée),Stomp Aqua,50,Sensitive,Wide,Loamy, Carrot,Onion,Cabbage ,Cabbage 
Pea,4,500,100,30,50,20,100,2500,Dicotylédones et graminées (pré-levée),Stomp Aqua,50,Sensitive,Wide,Loamy, Sugarbeet,Mustard,Legumes ,Legumes 
Pea,4,500,100,30,50,20,100,2500,Dicotylédones et graminées (pré-levée),Stomp Aqua,50,Sensitive,Wide,Loamy, Maize,Pepper,Onion,Onion
Bean,4,550,110,40,60,25,120,2700,,,45,Sensitive,Wide,Loamy,Cereal,Mustard,Sunflower ,Sunflower 
Bean,4,550,110,40,60,25,120,2700,,,45,Sensitive,Wide,Loamy, Maize,Legumes,Onion ,Onion 
Bean,4,550,110,40,60,25,120,2700,,,45,Sensitive,Wide,Loamy, Tomato,Wheat,Legumes ,Legumes 
Bean,4,550,110,40,60,25,120,2700,,,45,Sensitive,Wide,Loamy, Carrot,Cabbage,Sunflower ,Sunflower 
Bean,4,550,110,40,60,25,120,2700,,,45,Sensitive,Wide,Loamy, Pea,Onion,Maize,Maize
Pea,4,500,100,30,50,20,100,2500,Dicotylédones et graminées (pré-levée),Stomp Aqua,50,Sensitive,Wide,Loamy,Cereal,Mustard,Legumes ,Legumes 
Pea,4,500,100,30,50,20,100,2500,Dicotylédones et graminées (pré-levée),Stomp Aqua,50,Sensitive,Wide,Loamy, Wheat,Sunflower,Maize ,Maize 
